scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
300175,朗源股份,A股,深交所创业板,2019-07-13T00:00:00,2018-03-31T00:00:00,-0.0097,-,62771847.7,-9.796,-23.3987,-4567921.81,-107.9741,61.0316,-0.55,1.66487155,0.032856,6.8607,农牧饲渔,-,-,058001001,069001002002,2018-04-25T00:00:00
688218,江苏北人,A股,上交所科创板,2019-07-11T00:00:00,2018-03-31T00:00:00,-,-,52301044.53,-45.496,-,3525728.14,-69.4734,-,1.5,2.86097252,-0.58347,24.7924,专用设备,-,-,058001001,069001001006,2018-04-26T00:00:00
300786,国林科技,A股,深交所创业板,2019-07-09T00:00:00,2018-03-31T00:00:00,0.29,-,67128416.9,115.2023,2.9116,11643990.34,1059.7089,-6.2,-,8.74441672,-0.577276,41.5552,专用设备,-,-,058001001,069001002002,2019-05-06T00:00:00
688015,交控科技,A股,上交所科创板,2019-07-06T00:00:00,2018-03-31T00:00:00,-0.54,-,92160816.25,-,-,-16232101.56,-,-,-,-,-,28.2966,交运设备,-,-,058001001,069001001006,2019-07-06T00:00:00
688388,嘉元科技,A股,上交所科创板,2019-07-06T00:00:00,2018-03-31T00:00:00,0.15,-,197705215.84,74.8198,24.5619,25490372.75,46.4297,22.3652,4.79,-,-,24.1105,材料行业,-,-,058001001,069001001006,2019-04-19T00:00:00
688028,沃尔德,A股,上交所科创板,2019-07-05T00:00:00,2018-03-31T00:00:00,0.23,-,54114662.73,-,-,14062886.5,-,-,-,-,-,49.6186,专用设备,-,-,058001001,069001001006,2019-07-05T00:00:00
688022,瀚川智能,A股,上交所科创板,2019-07-05T00:00:00,2018-03-31T00:00:00,-0.08,-,15711309.73,-,-,-6518225.48,-,-,-,-,-,24.6978,专用设备,-,-,058001001,069001001006,2019-07-05T00:00:00
688088,虹软科技,A股,上交所科创板,2019-07-04T00:00:00,2018-03-31T00:00:00,-,-,97509536.89,-,-,36354957.37,-,-,11.46,-,-,93.9394,软件服务,-,-,058001001,069001001006,2019-07-04T00:00:00
688010,福光股份,A股,上交所科创板,2019-07-03T00:00:00,2018-03-31T00:00:00,0.1782,-,119260401.37,-,-,20451531.25,-,-,-,-,-,38.7436,仪器仪表,-,-,058001001,069001001006,2019-07-03T00:00:00
688012,中微公司,A股,上交所科创板,2019-07-03T00:00:00,2018-03-31T00:00:00,-,-,60289803.63,-,-,-54748141.06,-,-,-22.79,-,-,37.0428,专用设备,-,-,058001001,069001001006,2019-07-03T00:00:00
688018,乐鑫科技,A股,上交所科创板,2019-07-03T00:00:00,2018-03-31T00:00:00,0.4233,0.4162,107455142.95,-,-,25396799.38,-,-,11.42,-,-,50.405,电子元件,-,-,058001001,069001001006,2019-07-03T00:00:00
688011,新光光电,A股,上交所科创板,2019-07-03T00:00:00,2018-03-31T00:00:00,0.4409,0.4142,26533586.73,-,-,33070914.57,-,-,7.68,-,-,67.7213,专用设备,-,-,058001001,069001001006,2019-07-03T00:00:00
688009,中国通号,A股,上交所科创板,2019-07-02T00:00:00,2018-03-31T00:00:00,0.07,-,6865605711.58,-,-,621420962.89,-,-,-,-,-,24.0936,交运设备,-,-,058001001,069001001006,2019-07-02T00:00:00
688005,容百科技,A股,上交所科创板,2019-07-02T00:00:00,2018-03-31T00:00:00,0.11,-,582272963.14,-,-,38694884.66,-,-,-,-,-,17.82,材料行业,-,-,058001001,069001001006,2019-07-02T00:00:00
300785,值得买,A股,深交所创业板,2019-07-01T00:00:00,2018-03-31T00:00:00,0.42,-,79400586.99,-,-,16680407.33,-,-,-,-,-,79.0927,电子信息,-,-,058001001,069001002002,2019-07-01T00:00:00
900906,*ST毅达B,B股,上交所风险警示板,2019-06-28T00:00:00,2018-03-31T00:00:00,-0.0031,-,0.0,-100.0,100.0,-3294154.29,-616.0279,99.7083,-9.86,0.02964884,-0.002038,-,园林工程,-,-,058001002,069001001003,2018-08-30T00:00:00
600610,*ST毅达,A股,上交所风险警示板,2019-06-28T00:00:00,2018-03-31T00:00:00,-0.0031,-,0.0,-100.0,100.0,-3294154.29,-616.0279,99.7083,-9.86,0.02964884,-0.002038,-,园林工程,-,-,058001001,069001001003,2018-08-30T00:00:00
300688,创业黑马,A股,深交所创业板,2019-06-28T00:00:00,2018-03-31T00:00:00,0.07,-,26218822.93,7.6064,-59.2169,4498982.6,479.873,-82.3972,1.19,5.60002692,-0.307943,53.7325,文化传媒,-,-,058001001,069001002002,2018-04-24T00:00:00
300688,创业黑马,A股,深交所创业板,2019-06-28T00:00:00,2018-03-31T00:00:00,0.07,-,26218822.93,7.6064,-59.2169,4498982.6,479.873,-82.3972,1.19,5.60002692,-0.307943,53.7325,文化传媒,-,-,058001001,069001002002,2018-04-24T00:00:00
