scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
300324,016057,80188843,旋极信息,软件服务,003,001,2,cyb,2019-08-27T00:00:00,2019-03-31T00:00:00,89568821.64,684133779.4,581948032.01,-0.0118175118631538,382788990.79,-0.0241037505338971,65042101.68,77004269.17,4848171.17,109210918.21,109371082.76,14588048.6,-,-,-,-,-,1913667.95,-,-,-,-,-,-,-,-,-0.105274,-0.384698,-0.362044,81291187.49,-0.4025168345,2019/8/26 20:53:57,382788990.79
300142,016024,80133725,沃森生物,医药制造,003,001,2,cyb,2019-08-24T00:00:00,2019-03-31T00:00:00,38733154.52,176228128.43,119778722.03,0.0941529422313987,42139093.39,0.642674451202516,58609633.66,38108992.64,3316422.5,57881457.07,57832483.85,8522776.05,-,-,-,-,-,1871206.43,-,-,-,-,-,-,-,-,0.497195,0.830721,0.630302,37262383.2,21.4409802618,2019/8/23 21:58:00,42139093.39
002393,016024,80064300,力生制药,医药制造,003,001,2,zxb,2019-08-23T00:00:00,2019-03-31T00:00:00,44426621.86,434462480.17,384164044.89,0.10934736799106,135547512.0,0.0453175099810859,179248747.6,24807571.46,-2956345.06,52706641.05,52558312.26,8131690.4,-,-,-,-,-,9503568.36,-,-,-,-,-,-,-,-,0.103163,0.0896,0.085457,44552701.33,0.089777884,2019/8/22 20:00:49,135547512.0
603508,016014,80078700,思维列控,电子信息,003,001,2,shzb,2019-08-19T00:00:00,2019-03-31T00:00:00,696652077.12,398509129.5,214765397.51,0.980196307798419,138242341.15,1.02072156829431,8550211.58,20104178.73,-4914082.94,754918947.49,754763344.04,46147836.59,-,-,-,-,-,10326574.14,-,-,-,-,-,-,-,-,1.510474,9.322066,11.194672,131710414.09,2.3343930715,2019/8/18 15:06:02,138242341.15
603992,016059,80902073,松霖科技,金属制品,003,001,2,shzb,2019-08-13T00:00:00,2019-03-31T00:00:00,48265992.08,339095829.25,300997942.97,-,225509530.3,-,15709171.47,30859875.44,1170768.93,55635364.63,55458316.86,7192324.78,-,-,-,-,-,3965738.38,-,-,-,-,-,-,-,-,-,-,-,35659886.42,-,2020/1/8 11:46:01,225509530.3
688200,016061,80994896,华峰测控,专用设备,003,001,2,,2019-08-07T00:00:00,2019-03-31T00:00:00,23235299.56,59780523.92,32397741.41,-,10434446.02,-,9391286.66,5028956.92,408400.5,27074371.26,27074371.26,3839071.7,-,-,-,-,-,670561.31,-,-,-,-,-,-,-,-,-,-,-,22583064.15,-,2020/1/8 11:43:00,10434446.02
300162,016022,80160478,雷曼光电,电子元件,003,001,2,cyb,2019-08-02T00:00:00,2019-03-31T00:00:00,12124072.59,216789005.46,206256165.58,0.310707670721621,165396155.59,0.383191611329341,15543655.43,12887865.24,5272907.34,14827029.77,16270580.33,1818853.42,-,-,-,-,-,1115548.87,-,-,-,-,-,-,-,-,0.424513,10.574094,16.384562,7485227.45,2.8316495793,2019/8/2 20:30:53,165396155.59
003816,016007,80374408,中国广核,电力行业,003,001,2,zxb,2019-07-31T00:00:00,2019-03-31T00:00:00,2518133739.76,12875622313.0,9636927639.66,0.227495829389519,7150247839.77,0.234463383965748,16753115.5,567448217.88,1617180522.54,4470368838.07,4471105355.89,532208697.01,-,-,-,-,-,182786435.71,-,-,-,-,-,-,-,-,0.178278,0.131663,0.013212,2351475846.38,-0.0510201537,2020/1/8 11:42:29,7150247839.77
002121,016021,80089817,科陆电子,仪器仪表,003,001,2,zxb,2019-07-30T00:00:00,2019-03-31T00:00:00,-110425676.48,791335602.65,918089910.38,0.126841921389158,563222244.97,0.0633165661766089,71218181.98,68859594.36,103759182.92,-105375485.87,-110194492.19,1081196.04,-,-,-,-,-,3683337.96,-,-,-,-,-,-,-,-,-0.013487,-10.615453,-4.586969,-115614295.47,-10.3388815255,2019/7/29 21:00:00,563222244.97
300787,016022,80431588,海能实业,电子元件,003,001,2,cyb,2019-07-29T00:00:00,2019-03-31T00:00:00,30721443.99,217792457.25,201175055.16,0.0323707359400722,160103329.09,0.00611064474055505,11564371.62,11374592.59,3592248.83,33933145.69,33818894.01,3097450.02,-,-,-,-,-,2643029.35,-,-,-,-,-,-,-,-,0.050236,1.544588,1.903176,28981918.17,0.5668035917,2019/7/29 0:49:29,160103329.09
