scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode,firstnoticedate
688228,开普云,A股,上交所科创板,2020-01-13T00:00:00,2019-09-30T00:00:00,-,141657600.0,13.872943423497002,-,124399700.0,20952900.0,-10.06567087303631,-,23298000.0,-,-,软件服务,058001001,069001001006,2020-01-13T00:00:00
688090,瑞松科技,A股,上交所科创板,2020-01-08T00:00:00,2019-09-30T00:00:00,-,487079600.0,0.572114320450093,-,484308800.0,42256800.0,-1.8780650913954526,-,43065600.0,-,-,专用设备,058001001,069001001006,2020-01-08T00:00:00
688189,南新制药,A股,上交所科创板,2020-01-03T00:00:00,2019-09-30T00:00:00,-,670581200.0,29.671364952169533,-,517139000.0,47057900.0,51.20412825612668,-,31122100.0,-,-,医药制造,058001001,069001001006,2020-01-03T00:00:00
688266,泽璟制药,A股,上交所科创板,2019-12-31T00:00:00,2019-09-30T00:00:00,-,-,-,-,1311200.0,-398391600.0,-334.75968217349504,66.52751486530552,-91634900.0,-,-,医药制造,058001001,069001001006,2019-12-31T00:00:00
688298,东方生物,A股,上交所科创板,2019-12-31T00:00:00,2019-09-30T00:00:00,-,262234000.0,27.816708673690965,-,205164100.0,58352900.0,22.48642430883097,-,47640300.0,-,-,医疗行业,058001001,069001001006,2019-12-31T00:00:00
002973,侨银环保,A股,深交所中小板,2019-12-24T00:00:00,2019-09-30T00:00:00,-,1574260000.0,40.018731305383426,-,1124321000.0,99606100.0,32.737516974303006,-,75039900.0,-,-,公用事业,058001001,069001002003,2019-12-24T00:00:00
300812,易天股份,A股,深交所创业板,2019-12-23T00:00:00,2019-09-30T00:00:00,-,345777600.0,-,-,-,72038300.0,-,-,-,5.85,-,专用设备,058001001,069001002002,2019-12-23T00:00:00
688123,聚辰股份,A股,上交所科创板,2019-12-18T00:00:00,2019-09-30T00:00:00,-,381778100.0,10.876479768964073,-,344327400.0,76251100.0,16.970171119139113,-,65188500.0,-,-,电子元件,058001001,069001001006,2019-12-18T00:00:00
688037,芯源微,A股,上交所科创板,2019-12-10T00:00:00,2019-09-30T00:00:00,-,95710100.0,-0.09384133611691023,-49.40723779638977,95800000.0,919200.0,-71.19849600501331,-115.9404214080998,3191500.0,-,-,专用设备,058001001,069001001006,2019-12-10T00:00:00
688200,华峰测控,A股,上交所科创板,2019-12-10T00:00:00,2019-09-30T00:00:00,-,201166900.0,10.825621458312904,132.94739288350522,181516600.0,81370900.0,2.1952199741280785,194.17837712694626,79623000.0,-,-,专用设备,058001001,069001001006,2019-12-10T00:00:00
688208,道通科技,A股,上交所科创板,2019-12-09T00:00:00,2019-09-30T00:00:00,-,840110900.0,25.8141685492621,-,667739500.0,237524500.0,-11.282207773192734,-,267730400.0,-,-,汽车行业,058001001,069001001006,2019-12-09T00:00:00
688078,龙软科技,A股,上交所科创板,2019-12-09T00:00:00,2019-09-30T00:00:00,-,105432800.0,24.494678150305944,-,84688600.0,36176400.0,111.13562348986238,-,17134200.0,-,-,软件服务,058001001,069001001006,2019-12-09T00:00:00
688169,石头科技,A股,上交所科创板,2019-12-06T00:00:00,2019-09-30T00:00:00,-,3029992500.0,43.46234781116634,-,2112047200.0,582143100.0,236.1260543939988,-,173191900.0,-,-,家电行业,058001001,069001001006,2019-12-06T00:00:00
688268,华特气体,A股,上交所科创板,2019-12-04T00:00:00,2019-09-30T00:00:00,-,608280400.0,3.546642090214961,-,587445800.0,64324200.0,46.04067621136373,-,44045400.0,-,-,化工行业,058001001,069001001006,2019-12-04T00:00:00
603053,成都燃气,A股,上交所主板,2019-12-02T00:00:00,2019-09-30T00:00:00,-,3569839200.0,11.373003022524909,-,3205300300.0,448585800.0,13.418523808404109,-,395513700.0,-,-,公用事业,058001001,069001001001,2019-12-02T00:00:00
